minute,id,light.status,light.side,distance.moved,mean.velocity,left.side.visits,left.side.time,left.side.latency,right.side.visits,right.side.time,right.side.latency,right.feeder.side.visits,right.feeder.side.time,right.feeder.side.latency,left.feeder.side.visits,left.feeder.side.time,left.feeder.side.latency
3,large_week2_pi1,2after,right,217.373,3.62289,2,39,120,2,20.4,142.6,1,2,147.2,4,5.4,120
1,pi2_small,1before,left,37.8047,0.632186,0,0,60,1,60,0,3,40.4,0,0,0,60
2,pi2_small,1before,left,60.5894,1.00982,0,0,60,1,60,60,2,21,60,0,0,60
3,pi2_small,1before,left,98.2368,1.7055,2,51.4,125.6,2,6.6,120,0,0,60,5,23.4,127.6
1,pi2_small,2after,left,84.9866,1.42118,3,31,0,3,28.8,13.2,2,8.8,45.6,1,5.4,21.4
2,pi2_small,2after,left,129.426,2.1571,2,24.8,63.4,4,34.4,60,0,0,60,1,4,64.8
3,pi2_small,2after,left,47.2211,0.787019,0,0,60,1,60,120,1,3,135.2,0,0,60
1,pi2_large,1before,left,105.638,1.76653,2,28,12.2,2,32,0,0,0,60,0,0,60
2,pi2_large,1before,left,84.9817,1.41636,1,43,60,1,17,103,0,0,60,0,0,60
3,pi2_large,1before,left,57.7226,0.985027,0,0,60,1,59.2,120,1,1.2,151.6,0,0,60
1,pi2_large,2after,left,59.4256,0.993739,0,0,60,1,60,0,1,6.2,51.2,0,0,60
2,pi2_large,2after,left,50.6978,0.844963,0,0,60,1,60,60,1,5,114.6,0,0,60
3,pi2_large,2after,left,33.5284,0.558807,0,0,60,1,60,120,0,0,60,0,0,60
1,pi3_small,1before,left,188.252,3.14802,2,27.6,0,2,32.4,5.8,3,7.4,9.6,6,7,23.6
2,pi3_small,1before,left,107.607,1.79345,0,0,60,1,60,60,3,8.2,60,0,0,60
3,pi3_small,1before,left,169.968,2.8328,0,0,60,1,60,120,1,0.2,176.8,0,0,60
1,pi3_small,2after,left,185.531,3.10253,0,0,60,1,60,0,4,6,1,0,0,60
